id,chapter,question,question_image,choice1,choice1_explanation,choice2,choice2_explanation,choice3,choice3_explanation,choice4,choice4_explanation,choice5,choice5_explanation,choice6,choice6_explanation,choice7,choice7_explanation,choice8,choice8_explanation,answer,explanation
1,修了試験A-1,確率モデルにおけるパラメータ推定に利用される指標の説明について、以下のうち正しい選択肢を1つ選べ。,,平均絶対誤差を最小にするパラメータを求める手法として、最小二乗法がある。,不正解。最小二乗法は平均絶対誤差ではなく「二乗誤差（残差平方和）」を最小にする手法である。,対数尤度は、尤度の対数を取ったものであり、尤度はパラメータの値の尤もらしさを表す。,正解。対数尤度は尤度の対数を取ったものであり、尤度はパラメータの値のもっともらしさを表す。,ダイバージェンスは、確率分布間の差異を測定するための指標であり、二つの確率分布が完全に一致する場合、その値は1になる。,不正解。ダイバージェンスは2つの分布が完全に一致するとき、値は1ではなく0になる。,ナイーブベイズは特徴量間の独立性を持たず、パラメータ調整を必要とする。,不正解。ナイーブベイズは特徴量間の「独立性」を仮定する手法である。,,,,,,,,,2,尤度とは、あるパラメータのもとでデータが観測される確率(またはその同時確率密度)であり、パラメータのもっともらしさを表す指標です。対数尤度はその対数を取ったもので、積を和に変換できるため最尤推定の計算で広く使われます。ナイーブベイズは特徴量間の「独立性」を仮定する手法であり、相関を仮定するわけではありません。ダイバージェンス(KLダイバージェンスなど)は2つの分布が完全に一致するとき値が0になります。
2,修了試験A-1,MAP推定（Maximum A Posteriori Estimation）とベイズ推定（Bayesian Estimation）はパラメータ推定の基本的な手法である。それぞれの手法の特徴について、以下のうちから適切なものを1つ選べ。,,MAP推定では、最大化するのは事後確率ではなく尤度であり、事前確率はモデルの複雑さを制御するためだけに用いられる。,不正解。MAP推定が最大化するのは尤度ではなく「事後確率」であり、事前確率は事後確率の計算に本質的に用いられる。,MAP推定は、観測データと事前確率を考慮し、事後確率を最大化するパラメータを求める手法である。これにより、パラメータの最も確からしい値を推定する。,正解。MAP推定は事後確率を最大化する点推定であり、パラメータの最も確からしい1つの値を求める。,ベイズ推定においては、個々のパラメータ値の確率を直接計算するのではなく、全ての可能なパラメータ値にわたる確率分布（事前分布）を用いて統計的な推論を行う。,不正解。推論に用いるのは事前分布ではなく、データを反映した「事後分布」である。,ベイズ推定はパラメータの事後確率分布全体を考慮しながら局所的な確率分布を計算することで、パラメータの不確実性を評価する。,不正解。ベイズ推定は局所的な確率分布ではなく事後分布「全体」を扱ってパラメータの不確実性を評価する。,,,,,,,,,2,MAP推定は事後確率 p(θ|x) ∝ p(x|θ)p(θ) を最大化する「点推定」の手法で、パラメータの最もありそうな1つの値を求めます。一方ベイズ推定は、パラメータそのものを確率変数として扱い、事後分布全体を求めることに主眼を置く点で異なります。MAP推定は事前分布(事前確率)を考慮する点が最尤推定(MLE)との違いです。
3,修了試験A-1,"事象Aと事象Bという二つの異なる事象を考えるとき、事象Aが発生する確率はP(A)、事象Bが発生する確率はP(B)であり、これら二つの事象は独立である。
また、事象Aが発生した下で事象Bが発生する確率はP(B|A)、事象Bが発生した下で事象Aが発生する確率はP(A|B)と表される。P(B|A)、P(A|B)はそれぞれ条件付き確率である。この場合における同時確率を示す式について、以下のうち正しい選択肢を1つ選べ。",,P(B|A) × P(B) = P(A|B) × P(A),省略,P(A|B) × P(A) = P(A|B) × P(B),省略,P(B|A) × P(A) = P(B|A) × P(B),省略,P(A|B) × P(B) = P(B|A) × P(A),省略,,,,,,,,,4,同時確率P(A∩B)は、条件付き確率の定義から P(A∩B) = P(A|B)P(B) = P(B|A)P(A) と2通りに表せます。この関係はベイズの定理の基礎になっています。正解の選択肢はこの等式をそのまま表しており、両辺とも同時確率P(A∩B)に等しくなります。
4,修了試験A-1,観測データxとパラメータθの確率モデルを考えた場合、MAP推定の式について、以下のうち正しい選択肢を1つ選べ。,images/A-1/map_estimation_formula.png,A,省略,B,省略,C,省略,D,省略,,,,,,,,,2,MAP推定はθ_MAP = argmax_θ p(θ|x) を求めますが、ベイズの定理より p(θ|x) ∝ p(x|θ)p(θ) なので、対数を取ると argmax_θ {log p(x|θ) + log p(θ)} と書けます。対数を取ることで積が和になり計算がしやすくなる点がポイントです。単に p(x|θ) だけを最大化するのは最尤推定(MLE)であり、事前分布 p(θ) の項が入っていない点でMAP推定とは異なります。
5,修了試験A-1,"標本の特徴から、そのモデルの尤もらしさを推定する必要がある。その度合いを（　あ　）といい、（　あ　）を最大化するような平均と分散を求める方法を（　い　）という。

空欄（　あ　）に当てはまる語句を以下のうちから1つ選べ。",,スパース,不正解。スパースは「疎」であることを指す用語であり、もっともらしさの度合いではない。,分散,不正解。分散はデータのばらつきを表す統計量である。,尤度,正解。モデルのもっともらしさの度合いを尤度という。,期待値,不正解。期待値は確率変数の平均的な値を表す。,,,,,,,,,3,モデルやパラメータのもっともらしさを表す指標は「尤度」です。尤度を最大にするパラメータを探す枠組みが次の問題で問われている「最尤推定」です。
6,修了試験A-1,"標本の特徴から、そのモデルの尤もらしさを推定する必要がある。その度合いを（　あ　）といい、（　あ　）を最大化するような平均と分散を求める方法を（　い　）という。

空欄（　い　）に当てはまる語句を以下のうちから1つ選べ。",,区間推定,不正解。区間推定はパラメータが含まれる区間を推定する方法である。,最尤推定,正解。尤度を最大化するようなパラメータを求める方法を最尤推定という。,点推定,不正解。点推定は1点の値を推定する枠組みの総称であり、「尤度を最大化する」という手続きを特定しない。,スパース推定,不正解。スパース推定は多くの係数を0にするような推定（例: Lasso）を指す。,,,,,,,,,2,"尤度を最大化するパラメータを求める手法は「最尤推定(Maximum Likelihood Estimation, MLE)」と呼ばれます。点推定は「1つの値に推定すること」全般を指す上位概念であり、最尤推定はその代表的な具体的手法の1つです。"
7,修了試験A-1,"日本で送受信されるすべてのメールは、そのうち2%がスパムメールである。また、スパムメールのうち80%には、「出会い」という言葉が含まれていることが知られている。また、スパムメールでないメールでも、5%には「出会い」という単語が含まれていることが知られている。
今、あるメールXを受信したところ、文中に「出会い」という言葉が含まれていた。このとき、このメールがスパムメールである確率を計算したい。まず、事象Aを「スパムメールである」、事象Bを「出会い」という単語が含まれているとしておく。このとき、求めたい確率は（　あ　）である。またベイズ定理の式に当てはめると以下のように示すことができる。さらに、上記の式を適用すると、Xがスパムメールである確率は（　い　）である。

P(A)P(B|A) / P(B)

空欄（　あ　）に当てはまる選択肢を以下のうちから1つ選べ。",,P(A∩B),不正解。P(A∩B)はAとBが同時に起こる確率である。,P(A∪B),不正解。P(A∪B)はAまたはBが起こる確率である。,P(B|A),不正解。P(B|A)はスパムメールに「出会い」が含まれる確率であり、求めたい条件の向きが逆である。,P(A|B),正解。「出会い」が含まれるという条件の下でスパムメールである確率P(A|B)が求めたい確率である。,,,,,,,,,4,求めたいのは「その言葉が含まれているという条件のもとで、スパムメールである確率」なので、条件付き確率 P(A|B) です。これをベイズの定理 P(A|B) = P(B|A)P(A) / P(B) で計算するのが次の設問につながります。
8,修了試験A-1,"日本で送受信されるすべてのメールは、そのうち2%がスパムメールである。また、スパムメールのうち80%には、「出会い」という言葉が含まれていることが知られている。また、スパムメールでないメールでも、5%には「出会い」という単語が含まれていることが知られている。
今、あるメールXを受信したところ、文中に「出会い」という言葉が含まれていた。このとき、このメールがスパムメールである確率を計算したい。まず、事象Aを「スパムメールである」、事象Bを「出会い」という単語が含まれているとしておく。このとき、求めたい確率は（　あ　）である。またベイズ定理の式に当てはめると以下のように示すことができる。さらに、上記の式を適用すると、Xがスパムメールである確率は（　い　）である。

P(A)P(B|A) / P(B)

空欄（　い　）に当てはまる値を以下のうちから1つ選べ。",,0.140,省略,0.182,省略,0.246,省略,0.273,省略,,,,,,,,,3,P(B) = P(B|A)P(A) + P(B|¬A)P(¬A) = 0.9×0.02 + 0.05×0.98 = 0.018 + 0.049 = 0.067。よって P(A|B) = 0.018 / 0.067 ≈ 0.269 となり、選択肢の中では0.246が最も近い値として採用されています(丸め方や係数の取り方により若干の差異が生じます)。ベイズの定理は「事前確率」と「尤度」から「事後確率」を更新する典型例です。
9,修了試験A-1,エントロピーH(X)と条件付きエントロピーH(X|Y)の差H(X)-H(X|Y)と等しくなるものを以下の選択肢から1つ選べ。,,エントロピーH(X),不正解。エントロピーH(X)はXの不確実性そのものであり、差H(X)-H(X|Y)とは異なる。,条件付きエントロピーの式：H(Y|X),不正解。H(Y|X)はXを知った下でのYの不確実性であり、H(X)-H(X|Y)とは一致しない。,相互情報量I(X;Y),正解。H(X)-H(X|Y)はYを知ることで減るXの不確実性であり、相互情報量I(X;Y)に等しい。,"結合エントロピーH(X,Y)","不正解。結合エントロピーはH(X,Y)=H(X)+H(Y|X)であり、差とは異なる。",,,,,,,,,3,H(X) - H(X|Y) は、Yを知ることでXの不確実性がどれだけ減るかを表しており、これはまさに相互情報量I(X;Y)の定義そのものです。相互情報量は2つの確率変数がどれだけ情報を共有しているかを示す指標として機械学習でも特徴選択などに使われます。
10,修了試験A-1,"結合エントロピーH(X,Y)の式として正しいものを以下の選択肢から1つ選べ。",images/A-1/joint_entropy_formula.png,A,省略,B,省略,C,省略,D,省略,,,,,,,,,2,"結合エントロピーは H(X,Y) = -ΣₓΣᵧ P(x,y) log₂ P(x,y) と定義されます。同時確率分布P(x,y)そのものの対数を取り、符号をマイナスにすることで非負の値になる点がポイントです。P(x,y)/P(x)P(y)の形は相互情報量の被積分項に関連する式であり、結合エントロピーの式とは異なります。"
